gvkey,datadate,fyearq,fqtr,tic,cusip,conm,curcdq,Current Assets Total - Q,Assets Total - Q,Common - Ordinary Equity Total - Q,Cash - Q,Long term debt total - Q,Current liabilities total - Q,Liabilities total - Q,Revenue total - Q,Sales total - Q,Working Capital - Q,R&D expense - Q,SG&A expense - Q,Capital expenditure - Y,Revenue total - Y,Sales total - Y,R&D expenditure - Y,SG&A expense - Y,sic,state
1078,20130331,2013,1,ABT,2824100,ABBOTT LABORATORIES,USD,19096.868,42686.613,22588.186,4373.12,3466.576,10406.326,20003.338,5377.895,5377.895,8690.542,346.323,2131.882,274.465,5377.895,5377.895,346.323,2131.882,2834,IL
1078,20130630,2013,2,ABT,2824100,ABBOTT LABORATORIES,USD,19831.124,42903.346,22336.064,5572.254,3410.759,10919.614,20475.7,4440.105,4440.105,8911.51,326.677,1760.118,564.884,9818,9818,673,3892,2834,IL
1078,20130930,2013,3,ABT,2824100,ABBOTT LABORATORIES,USD,19748.949,44132.477,23696.237,2882.454,3403.069,11331.665,20344.546,4825,4825,8417.284,339,1951,841.341,14643,14643,1012,5843,2834,IL
1078,20131231,2013,4,ABT,2824100,ABBOTT LABORATORIES,USD,19247,42953,25171,3475,3388,9507,17686,5014,5014,9740,359,1900,1145,19657,19657,1371,7743,2834,IL
1078,20140331,2014,1,ABT,2824100,ABBOTT LABORATORIES,USD,17931,41662,23390,2060,3387,10186,18173,4755,4755,7745,369,1854,255,4755,4755,369,1854,2834,IL
1078,20140630,2014,2,ABT,2824100,ABBOTT LABORATORIES,USD,18258,41475,23602,3570,3403,9853,17771,5057,5057,8405,310,1863,513,9812,9812,679,3717,2834,IL
1078,20140930,2014,3,ABT,2824100,ABBOTT LABORATORIES,USD,16464,42514,22888,3613,3719,10823,19521,5079,5079,5641,305,1928,790,14891,14891,984,5645,2834,IL
1078,20141231,2014,4,ABT,2824100,ABBOTT LABORATORIES,USD,15261,41275,21526,4063,3408,10532,19636,5356,5356,4729,361,1968,1077,20247,20247,1345,7613,2834,IL
1078,20150331,2015,1,ABT,2824100,ABBOTT LABORATORIES,USD,19985,43095,21874,3226,5931,9206,21107,4897,4897,10779,313,2007,235,4897,4897,313,2007,2834,IL
1078,20150630,2015,2,ABT,2824100,ABBOTT LABORATORIES,USD,21131,44125,23008,4048,5862,9185,20999,5170,5170,11946,345,1984,451,10067,10067,658,3991,2834,IL
1078,20150930,2015,3,ABT,2824100,ABBOTT LABORATORIES,USD,15894,41725,21111,3132,5798,8755,20506,5150,5150,7139,378,1951,862,15217,15217,1036,5942,2834,IL
1078,20151231,2015,4,ABT,2824100,ABBOTT LABORATORIES,USD,14155,41247,21211,5001,5871,9186,19921,5188,5188,4969,369,1897,1110,20405,20405,1405,7839,2834,IL
1078,20160331,2016,1,ABT,2824100,ABBOTT LABORATORIES,USD,12406,39637,20722,3334,5977,8393,18795,4885,4885,4013,379,1989,243,4885,4885,379,1989,2834,IL
1078,20160630,2016,2,ABT,2824100,ABBOTT LABORATORIES,USD,12988,39831,20675,2578,6016,8673,19036,5333,5333,4315,348,2030,490,10218,10218,727,4019,2834,IL
1078,20160930,2016,3,ABT,2824100,ABBOTT LABORATORIES,USD,12978,39497,20776,2500,5975,8321,18601,5302,5302,4657,352,1905,802,15520,15520,1079,5924,2834,IL
1078,20161231,2016,4,ABT,2824100,ABBOTT LABORATORIES,USD,26776,52666,20538,18620,20681,6660,31949,5333,5333,20116,343,1844,1121,20853,20853,1422,7768,2834,IL
1078,20170331,2017,1,ABT,2824100,ABBOTT LABORATORIES,USD,19329,70887,31362,8706,23764,6646,39340,6335,6335,12683,553,2586,272,6335,6335,553,2586,2834,IL
1078,20170630,2017,2,ABT,2824100,ABBOTT LABORATORIES,USD,19983,71151,31602,9675,23810,6803,39363,6637,6637,13180,520,2517,527,12972,12972,1073,5103,2834,IL
1078,20170930,2017,3,ABT,2824100,ABBOTT LABORATORIES,USD,21377,72248,32032,11012,23310,7935,40030,6829,6829,13442,568,2507,790,19801,19801,1641,7610,2834,IL
1078,20171231,2017,4,ABT,2824100,ABBOTT LABORATORIES,USD,20147,76250,30897,9407,27210,8912,45152,7589,7589,11235,619,2740,1135,27390,27390,2260,10350,2834,IL
1078,20180331,2018,1,ABT,2824100,ABBOTT LABORATORIES,USD,14964,70908,31399,3857,21154,9010,39307,7390,7390,5954,589,3023,275,7390,7390,589,3023,2834,IL
1078,20180630,2018,2,ABT,2824100,ABBOTT LABORATORIES,USD,14122,68415,30577,3065,19823,8951,37641,7767,7767,5171,575,2956,573,15157,15157,1164,5979,2834,IL
1078,20180930,2018,3,ABT,2824100,ABBOTT LABORATORIES,USD,18196,71637,30705,7369,19284,12776,40739,7656,7656,5420,574,2832,927,22813,22813,1738,8811,2834,IL
1078,20181231,2018,4,ABT,2824100,ABBOTT LABORATORIES,USD,14632,67173,30524,3844,19359,9012,36451,7765,7765,5620,562,2828,1394,30578,30578,2300,11639,2834,IL
1161,20130331,2013,1,AMD,7903107,ADVANCED MICRO DEVICES,USD,2338,3797,415,441,2039,1321,3382,1088,1088,1017,312,491,20,1088,1088,312,491,3674,CA
1161,20130630,2013,2,AMD,7903107,ADVANCED MICRO DEVICES,USD,2458,3897,359,334,2042,1451,3538,1161,1161,1007,308,479,48,2249,2249,620,970,3674,CA
1161,20130930,2013,3,AMD,7903107,ADVANCED MICRO DEVICES,USD,2939,4317,434,543,2044,1762,3883,1461,1461,1177,288,443,63,3710,3710,908,1413,3674,CA
1161,20131231,2013,4,AMD,7903107,ADVANCED MICRO DEVICES,USD,2884,4337,544,869,1998,1618,3793,1589,1589,1266,293,462,84,5299,5299,1201,1875,3674,CA
1161,20140331,2014,1,AMD,7903107,ADVANCED MICRO DEVICES,USD,2690,4108,511,554,2078,1384,3597,1397,1397,1306,279,435,21,1397,1397,279,435,3674,CA
1161,20140630,2014,2,AMD,7903107,ADVANCED MICRO DEVICES,USD,2932,4246,501,503,2109,1505,3745,1441,1441,1427,277,431,44,2838,2838,556,866,3674,CA
